Day_of_Week,Month,Quarter,SMA_1,SMA_3,SMA_6,Lag_1,Lag_3,Lag_6,Receipt_Count
Friday,9,3,9174504.0,8925227.5,8622180.211111112,9410437.0,8534097.0,7945271.0,9251321
Saturday,9,3,9169200.133333333,8933196.655555556,8629436.044444444,9212329.0,8462584.0,8352635.0,9377700
Sunday,9,3,9174712.5,8943364.611111112,8635130.85,9062121.0,8691699.0,7861647.0,9782022
Monday,9,3,9198709.2,8955479.311111111,8645799.6,9432522.0,8686964.0,7920726.0,8930331
Tuesday,9,3,9181969.5,8958183.388888888,8651408.516666668,9111057.0,8550358.0,7921232.0,9718666
Wednesday,9,3,9202223.133333333,8971164.58888889,8661394.26111111,8971236.0,8143101.0,8142874.0,9262001
Thursday,9,3,9211915.3,8983596.811111111,8667611.633333333,8799249.0,8645316.0,7731725.0,9095889
Friday,9,3,9221803.3,8988603.177777778,8675190.322222222,9127038.0,8928652.0,8070687.0,9364629
Saturday,9,3,9229723.0,8993447.366666667,8682378.888888888,9362940.0,9082265.0,7825047.0,9508131
Sunday,9,3,9234562.7,8998179.211111112,8691729.355555555,9077857.0,8796515.0,7920469.0,9264013
Monday,9,3,9240767.9,9003373.633333333,8699193.48888889,9413465.0,8629607.0,7946897.0,9461281
Tuesday,9,3,9242361.766666668,9012614.455555556,8707606.733333332,8950079.0,8827278.0,8090998.0,9032235
Wednesday,9,3,9245100.3,9014891.755555555,8712835.827777777,9215173.0,8946278.0,8415152.0,9574777
Thursday,9,3,9257087.1,9021875.077777777,8719278.188888889,9056307.0,8390857.0,8325436.0,9189740
Friday,9,3,9261534.866666667,9030751.555555556,8724079.877777778,8968187.0,8782778.0,8105278.0,9508023
Saturday,9,3,9279529.4,9038809.833333334,8731872.905555556,9357610.0,8817338.0,7562433.0,9580631
Sunday,9,3,9286963.433333334,9047290.866666667,8743085.116666667,8971426.0,8543719.0,8096085.0,9697272
Monday,9,3,9311158.3,9060108.122222222,8751980.6,9238276.0,8590990.0,8034268.0,9292315
Tuesday,9,3,9312959.6,9067900.622222222,8758969.75,9372279.0,8774391.0,8050876.0,9090518
Wednesday,9,3,9303567.566666666,9071413.144444445,8764745.538888888,9589375.0,8913737.0,8077321.0,9294810
Thursday,9,3,9293748.733333332,9075647.288888888,8771509.366666667,8961875.0,8665876.0,7999117.0,9400956
Friday,9,3,9308384.766666668,9083814.844444444,8779297.361111112,9160096.0,8707038.0,8082481.0,9871832
Saturday,9,3,9332109.3,9096757.0,8789238.2,9052229.0,8869334.0,8126444.0,9569204
Sunday,9,3,9349341.8,9104533.333333334,8797253.533333333,8778271.0,9186579.0,7911341.0,9583588
Monday,9,3,9376185.7,9108944.544444444,8806543.794444444,9245534.0,8372464.0,8013013.0,9412385
Tuesday,9,3,9381747.4,9120499.222222222,8814318.083333334,9384023.0,8721093.0,8353242.0,9221235
Wednesday,9,3,9376321.133333333,9126056.355555555,8819140.266666668,9474742.0,8704509.0,8042185.0,9328174
Thursday,9,3,9371435.533333333,9132985.966666667,8826284.65,9189054.0,8939614.0,8401675.0,9192142
Friday,10,4,9371538.466666667,9135791.833333334,8830676.133333333,9167277.0,9267015.0,8134408.0,9432155
Saturday,10,4,9380367.733333332,9137626.722222222,8837885.83888889,9123056.0,8544557.0,8422480.0,9755500
Sunday,10,4,9401449.2,9151081.644444445,8845291.505555555,9251321.0,8735065.0,8140096.0,9562636
Monday,10,4,9411826.366666667,9160276.877777778,8853194.505555555,9377700.0,8326629.0,8385138.0,9497084
Tuesday,10,4,9415805.833333334,9173281.933333334,8859371.983333332,9782022.0,8831147.0,8619576.0,9656472
Wednesday,10,4,9411620.833333334,9182452.211111112,8865132.516666668,8930331.0,8857992.0,7961949.0,9461320
Thursday,10,4,9429320.466666667,9189155.855555555,8873462.355555555,9718666.0,9160117.0,8388608.0,9363588
Friday,10,4,9417484.533333333,9191416.644444445,8878878.91111111,9262001.0,8672036.0,8458290.0,9834844
Saturday,10,4,9436579.3,9204336.733333332,8886526.433333334,9095889.0,8670423.0,8206730.0,9113802
Sunday,10,4,9437176.4,9209263.166666666,8891565.722222222,9364629.0,8869283.0,8319338.0,9290592
Monday,10,4,9434708.5,9213944.377777778,8896961.577777777,9508131.0,8686309.0,8726486.0,9282316
Tuesday,10,4,9427181.333333334,9220566.677777778,8900049.522222223,9264013.0,8654144.0,8342572.0,9725761
Wednesday,10,4,9442572.933333334,9232473.533333333,8907733.905555556,9461281.0,8860853.0,8438884.0,9449353
Thursday,10,4,9442175.333333334,9239012.422222223,8913347.622222222,9032235.0,9198488.0,8186918.0,9492895
Friday,10,4,9457530.666666666,9242283.611111112,8920603.05,9574777.0,8960260.0,8195134.0,9599402
Saturday,10,4,9458351.5,9249385.188888889,8928404.538888888,9189740.0,9122667.0,8366630.0,9664876
Sunday,10,4,9474189.366666667,9255409.733333332,8935617.016666668,9508023.0,9138658.0,8282495.0,9702569
Monday,10,4,9480674.233333332,9261675.41111111,8943506.316666666,9580631.0,8987305.0,8641338.0,9574962
Tuesday,10,4,9480485.266666668,9268204.933333334,8948693.116666667,9697272.0,8899455.0,8521710.0,9540428
Wednesday,10,4,9475257.133333333,9275326.855555555,8954352.66111111,9292315.0,9017914.0,8255078.0,9617606
Thursday,10,4,9486100.166666666,9281990.1,8961922.26111111,9090518.0,8480182.0,8221890.0,9509561
Friday,10,4,9500068.266666668,9293427.644444445,8969075.98888889,9294810.0,8603099.0,8509398.0,9417190
Saturday,10,4,9504147.6,9302473.1,8974119.277777778,9400956.0,8636410.0,8055670.0,9748484
Sunday,10,4,9515731.866666667,9314829.477777777,8983523.8,9871832.0,8996817.0,8266410.0,9476970
Monday,10,4,9502569.8,9320164.51111111,8990249.133333333,9569204.0,9024807.0,8367438.0,9373507
Tuesday,10,4,9496046.566666666,9324038.955555556,8995838.405555556,9583588.0,9329236.0,8704248.0,9646801
Wednesday,10,4,9498153.666666666,9327567.455555556,9001074.811111111,9412385.0,8979426.0,8728816.0,9635634
Thursday,10,4,9505595.3,9334858.655555556,9006112.688888889,9221235.0,8909272.0,8231674.0,9530612
Friday,10,4,9515907.866666667,9341762.433333334,9013329.01111111,9328174.0,8712314.0,8278534.0,9627467
Saturday,10,4,9525884.3,9351930.8,9020823.083333334,9192142.0,8861903.0,8727522.0,9879362
Sunday,10,4,9548791.633333333,9363235.9,9027222.194444444,9432155.0,8913143.0,8649710.0,9501436
Monday,11,4,9551101.0,9369772.48888889,9031954.005555555,9755500.0,9223398.0,8519563.0,9631220
Tuesday,11,4,9546958.333333334,9374303.844444444,9038129.877777778,9562636.0,9410437.0,8435867.0,10004975
Wednesday,11,4,9561702.966666667,9380909.822222222,9046847.144444445,9497084.0,9212329.0,8227322.0,9749567
Thursday,11,4,9570119.066666666,9386879.133333333,9055304.061111111,9656472.0,9062121.0,8383810.0,9925777
Friday,11,4,9579095.9,9396475.311111111,9063870.544444444,9461320.0,9432522.0,8109287.0,9863408
Saturday,11,4,9592498.833333334,9401262.933333334,9073615.66111111,9363588.0,9111057.0,8518147.0,9933505
Sunday,11,4,9611496.066666666,9410401.244444445,9081478.76111111,9834844.0,8971236.0,8472640.0,9383028
Monday,11,4,9596435.533333333,9414976.711111112,9086536.472222222,9113802.0,8799249.0,8359580.0,9607159
Tuesday,11,4,9612880.766666668,9423953.48888889,9093467.466666667,9290592.0,9127038.0,8262562.0,9707735
Wednesday,11,4,9626785.533333333,9430405.677777778,9101496.205555556,9282316.0,9362940.0,8503389.0,9691895
Thursday,11,4,9640438.166666666,9434060.733333332,9108099.016666668,9725761.0,9077857.0,8498352.0,9854091
Friday,11,4,9644715.833333334,9442685.555555556,9115630.9,9449353.0,9413465.0,9066670.0,9695957
Saturday,11,4,9652935.966666667,9445824.355555555,9119126.938888889,9492895.0,8950079.0,8744235.0,10047149
Sunday,11,4,9671411.1,9458014.022222223,9126365.35,9599402.0,9215173.0,8688343.0,9845653
Monday,11,4,9679619.466666667,9465019.355555555,9132794.85,9664876.0,9056307.0,8475700.0,9656831
Tuesday,11,4,9679351.3,9471691.844444444,9139356.688888889,9702569.0,8968187.0,8471826.0,10285056
Wednesday,11,4,9698767.533333333,9486323.722222222,9149430.188888889,9574962.0,9357610.0,9020316.0,9606579
Thursday,11,4,9699821.433333334,9489090.044444444,9152687.205555556,9540428.0,8971426.0,8399861.0,9928425
Friday,11,4,9712754.666666666,9499723.366666667,9161179.227777777,9617606.0,9238276.0,8387758.0,9980182
Saturday,11,4,9724840.533333333,9507966.766666668,9170026.027777778,9509561.0,9372279.0,8637948.0,9915679
Sunday,11,4,9738377.8,9514004.544444444,9177124.533333333,9417190.0,9589375.0,8088783.0,9837099
Monday,11,4,9752374.766666668,9516757.033333333,9186837.4,9748484.0,8961875.0,8148275.0,9608834
Tuesday,11,4,9747719.766666668,9523945.466666667,9194951.616666667,9476970.0,9160096.0,8682340.0,9893666
Wednesday,11,4,9761609.633333333,9532096.244444445,9201681.205555556,9373507.0,9052229.0,8879871.0,9897017
Thursday,11,4,9779059.966666667,9541482.777777778,9207332.016666668,9646801.0,8778271.0,8680501.0,10129048
Friday,11,4,9795134.866666667,9556491.41111111,9215379.5,9635634.0,9245534.0,8083372.0,9828852
Saturday,11,4,9801575.466666667,9562972.722222222,9225076.611111112,9530612.0,9384023.0,8517990.0,10014982
Sunday,11,4,9817721.133333333,9569983.377777778,9233393.233333332,9627467.0,9474742.0,8491801.0,10057900
Monday,11,4,9832068.9,9576462.91111111,9242093.783333333,9879362.0,9189054.0,9031534.0,10204676
Tuesday,11,4,9842912.7,9587747.6,9248611.23888889,9501436.0,9167277.0,8319351.0,10299217
Wednesday,12,4,9869505.4,9600324.711111112,9259610.494444445,9631220.0,9123056.0,8553246.0,9731627
Thursday,12,4,9872852.3,9607086.611111112,9266157.055555556,10004975.0,9251321.0,8534097.0,9674146
Friday,12,4,9861824.666666666,9611784.666666666,9272490.66111111,9749567.0,9377700.0,8462584.0,9679469
Saturday,12,4,9859488.066666666,9615137.655555556,9279251.133333333,9925777.0,9782022.0,8691699.0,10060861
Sunday,12,4,9863990.866666667,9618235.866666667,9286857.58888889,9863408.0,8930331.0,8686964.0,9771507
Monday,12,4,9860927.5,9627582.266666668,9292882.827777777,9933505.0,9718666.0,8550358.0,9726983
Tuesday,12,4,9854043.433333334,9627674.677777778,9299419.633333333,9383028.0,9262001.0,8143101.0,10152789
Wednesday,12,4,9879702.133333333,9637572.322222222,9310584.566666666,9607159.0,9095889.0,8645316.0,9961637
Thursday,12,4,9891518.066666666,9647191.744444445,9317897.461111112,9707735.0,9364629.0,8928652.0,9888931
Friday,12,4,9897557.933333334,9653017.322222222,9323232.344444444,9691895.0,9508131.0,9082265.0,10016144
Saturday,12,4,9908366.233333332,9658661.91111111,9328420.561111111,9854091.0,9264013.0,8796515.0,10025271
Sunday,12,4,9914072.233333332,9667120.333333334,9335246.983333332,9695957.0,9461281.0,8629607.0,10013123
Monday,12,4,9924644.433333334,9673251.91111111,9342933.183333334,10047149.0,9032235.0,8827278.0,10144930
Tuesday,12,4,9927903.8,9685615.188888889,9350253.472222222,9845653.0,9574777.0,8946278.0,10246870
Wednesday,12,4,9941277.7,9693082.888888888,9357478.983333332,9656831.0,9189740.0,8390857.0,9838107
Thursday,12,4,9947320.233333332,9700286.966666667,9365519.26111111,10285056.0,9508023.0,8782778.0,9845904
Friday,12,4,9932681.833333334,9704041.2,9371425.516666668,9606579.0,9580631.0,8817338.0,10220516
Saturday,12,4,9953146.4,9711151.033333333,9379220.95,9928425.0,9697272.0,8543719.0,9835059
Sunday,12,4,9950034.2,9712682.0,9386395.061111111,9980182.0,9292315.0,8590990.0,9572522
Monday,12,4,9936445.533333333,9715795.41111111,9391848.016666668,9915679.0,9090518.0,8774391.0,10379305
Tuesday,12,4,9951899.733333332,9730115.266666668,9400764.205555556,9837099.0,9294810.0,8913737.0,9680446
Wednesday,12,4,9946677.966666667,9734400.111111112,9405023.7,9608834.0,9400956.0,8665876.0,10124238
Thursday,12,4,9963858.1,9742436.577777777,9413125.711111112,9893666.0,9871832.0,8707038.0,9464659
Friday,12,4,9949557.866666667,9737912.433333334,9417334.716666667,9897017.0,9569204.0,8869334.0,9703857
Saturday,12,4,9943119.2,9739408.577777777,9421970.955555556,10129048.0,9583588.0,9186579.0,10045897
Sunday,12,4,9940347.5,9744545.344444444,9426744.944444444,9828852.0,9412385.0,8372464.0,10738865
Monday,12,4,9970681.266666668,9759284.01111111,9439891.616666667,10014982.0,9221235.0,8721093.0,10350408
Tuesday,12,4,9981862.133333333,9771830.377777778,9448943.366666667,10057900.0,9328174.0,8704509.0,10219445
Wednesday,12,4,9987246.966666667,9781733.388888888,9457359.677777778,10204676.0,9192142.0,8939614.0,10313337
Thursday,12,4,9990869.0,9794191.111111112,9464991.472222222,10299217.0,9432155.0,9267015.0,10310644
Friday,12,4,9991249.9,9803952.1,9470789.41111111,9731627.0,9755500.0,8544557.0,10211187
